id,url,headline,author,date
22783344,https://www.theverge.com/2022/4/10/23019303/heres-what-happens-cops-pull-over-a-driverless-cruise-vehicle-general-motors,Here’s what happens when cops pull over a driverless Cruise vehicle,Emma Roth,2022-04-12T15:15:37
22784969,https://www.theverge.com/2022/4/12/23020928/13-sentinels-nintendo-switch-review,The incredible sci-fi mystery 13 Sentinels is a perfect fit for the Switch,Andrew Webster,2022-04-12T14:30:00
22780485,https://www.theverge.com/2022/4/12/23016444/video-game-art-museum-zium-society,The video game that is also an art museum,Jay Castello,2022-04-12T14:00:00
22784975,https://www.theverge.com/2022/4/12/23020934/stranger-things-4-trailer-watch,Stranger Things 4’s new trailer teases a guitar battle in the Upside Down,Charles Pulliam-Moore,2022-04-12T14:18:58
22416824,https://www.theverge.com/22652783/best-webcam-camera,The best webcam to buy right now,Cameron Faulkner,2022-04-12T14:07:53
22785759,https://www.theverge.com/2022/4/12/23021718/luminary-black-star-album-apple-podcast-data-amazon-amp,Luminary gets into the exclusive album game,Jacob Kastrenakes,Not mentioned
22785737,https://www.theverge.com/2022/4/12/23021696/apple-health-app-new-features-tracking-iphone-watch-blood-pressure,Apple plans to add features to the iPhone health app this year,Nicole Wetsman,2022-04-12T13:40:10
22785012,https://www.vox.com/the-goods/23020971/crypto-kids-nfts-web3-education-summer-camp,"The growing, lightly controversial industry teaching kids crypto",Rebecca Jennings,Not mentioned
22785187,https://www.theverge.com/2022/4/12/23021146/biden-administration-ethanol-e15-gas-prices,Biden administration green lights fuel that could be dirtier than regular gas,Justine Calma,2022-04-12T09:00:00
22785326,https://www.theverge.com/23021285/gopro-hero10-black-bones-drones-fpv,GoPro ripped out the guts of the Hero10 Black to give its bones to drones,Sean Hollister,2022-04-12T13:00:00
22784450,https://www.theverge.com/2022/4/12/23020409/steelseries-aerox-5-9-wireless-moba-mmo-gaming-mouse-price,SteelSeries adds two new options to its lightweight Aerox lineup,Cameron Faulkner,2022-04-12T13:00:00
22769232,https://www.theverge.com/2022/4/12/23005191/adobe-after-effects-apple-silicon-premiere-pro-refresh-frame-io,Adobe’s including Frame.io collaboration software in Creative Cloud subscriptions ,Mitchell Clark,2022-04-12T13:00:00
22784436,https://www.theverge.com/2022/4/12/23020395/theraface-pro-massage-gun-facial-microcurrent,Therabody launches a massage gun for your face,Victoria Song,2022-04-12T12:00:00
22785664,https://www.theverge.com/2022/4/12/23021623/cheap-folding-ebike-price-specs-date,The Lectric XP Lite folding e-bike costs just $799,Thomas Ricker,2022-04-12T10:13:10
