id,url,headline,author,date
22778946,https://www.theverge.com/23014905/coke-byte-pixel-flavored-soda-review-fortnite-metaverse,"I tried the pixel-flavored Coke, and it Bytes",Mitchell Clark,2022-04-08T10:00:00
,,,,
22783877,https://www.theverge.com/2022/4/11/23019836/elon-musk-twitter-board-of-directors-news-updates,Elon Musk and the disappearing board seat: all of the updates about Twitter’s largest shareholder,NA,Not mentioned
,,,,
22778137,https://www.theverge.com/2022/4/11/23014096/astra-fund-six-thinking-games-zach-gage-indie-developers,Astra Fund announces six ‘thinking’ games from Zach Gage and other indie developers,Jay Peters,2022-04-11T13:00:00
,,,,
22743288,https://www.theverge.com/2022/4/11/22979247/tp-link-xe75-affordable-wifi-6e-mesh-router,TP-Link’s affordable new Wi-Fi 6E mesh router helps dip the cost of the new tech,Umar Shakir,2022-04-11T12:30:00
,,,,
22783843,https://www.theverge.com/2022/4/10/23019802/elon-musk-not-joining-twitter-board-announced,Elon Musk won’t join Twitter’s board after all,Sam Byford,2022-04-11T03:30:41
,,,,
22783276,https://www.theverge.com/2022/4/10/23019235/playstation-digital-games-ps3-ps-vita-expiring-sony-chrono-trigger,Digital PS3 and PS Vita games rendered unplayable after ‘expiring’,Emma Roth,Not mentioned
,,,,
22783344,https://www.theverge.com/2022/4/10/23019303/heres-what-happens-cops-pull-over-a-driverless-cruise-vehicle-general-motors,Here’s what happens when cops pull over a driverless Cruise vehicle,Emma Roth,2022-04-10T21:07:25
,,,,
22783087,https://www.theverge.com/2022/4/10/23019046/meta-no-longer-allow-private-residential-address-doxxing-facebook-instagram-oversight-board,Meta will no longer allow the sharing of ‘publicly available’ private home addresses,Emma Roth,2022-04-10T16:51:50
,,,,
22783018,https://www.theverge.com/2022/4/10/23018977/kingdom-hearts-iv-announced-20th-anniversary-event-square-enix,Kingdom Hearts IV announced at 20th anniversary event,Emma Roth,2022-04-10T13:20:29
,,,,
22779691,https://www.theverge.com/23015650/severance-season-1-review-apple-tv-plus,Severance’s first season is a wonderfully tense workplace horror story,Andrew Webster,Not mentioned
,,,,
22782299,https://www.theverge.com/2022/4/9/23018258/microsoft-control-russian-domains-ukraine-war-cyberattack-fancy-bear-apt28-strontium,Microsoft seized Russian domains targeting Ukrainian media organizations,Emma Roth,2022-04-09T22:21:31
,,,,
22782167,https://www.theverge.com/2022/4/9/23018126/twitter-reverts-change-left-blank-spaces-websites-embedded-tweets,Twitter reverts change that left blank spaces in place of deleted embedded tweets,Emma Roth,2022-04-09T19:44:49
,,,,
22781968,https://www.theverge.com/2022/4/9/23017927/apple-tv-plus-friday-night-baseball-debut-mlb-fans-disappointed,Apple TV Plus’ Friday Night Baseball debut wasn’t the homerun fans expected,Emma Roth,2022-04-09T18:34:49
,,,,
22781847,https://www.theverge.com/2022/4/9/23017806/google-fi-unlimited-plans-cheaper-more-high-speed-data,Google Fi cuts unlimited plan pricing while increasing high-speed data,Emma Roth,2022-04-09T15:25:45
